,member_id,member_name,gender,age,membership_type,preferred_facility,join_date,expiry_date,status
32,M00033,Member 033,Female,31,annual,swimming pool,2025-07-09,2026-07-09,expired
33,M00034,Member 034,Female,55,annual,badminton,2026-07-17,2027-07-17,active
34,M00035,Member 035,male,43,monthly,badminton,2026-07-21,2026-08-20,expired
35,M00036,Member 036,male,48,monthly,football,2025-09-01,2025-10-01,expired
36,M00037,Member 037,male,63,annual,gym,2026-05-20,2027-05-20,active
37,M00038,Member 038,male,56,quarterly,badminton,2025-05-11,2025-08-09,expired
38,M00039,Member 039,Female,28,monthly,gym,2026-04-30,2026-05-30,expired
39,M00040,Member 040,male,58,monthly,basketball,2025-01-21,2025-02-20,expired
40,M00041,Member 041,male,60,quarterly,gym,2025-06-16,2025-09-14,expired
41,M00042,Member 042,Female,40,monthly,basketball,2025-10-01,2025-10-31,expired
42,M00043,Member 043,male,57,annual,swimming pool,2026-01-23,2027-01-23,active
43,M00044,Member 044,male,51,monthly,swimming pool,2026-08-24,2026-09-23,active
44,M00045,Member 045,Female,42,monthly,football,2025-11-12,2025-12-12,expired
45,M00046,Member 046,male,53,annual,badminton,2025-01-14,2026-01-14,expired
46,M00047,Member 047,Female,22,monthly,football,2025-08-30,2025-09-29,expired
47,M00048,Member 048,Female,20,monthly,basketball,2025-12-12,2026-01-11,expired
48,M00049,Member 049,Female,58,monthly,football,2026-07-19,2026-08-18,expired
49,M00050,Member 050,male,60,monthly,gym,2025-12-06,2026-01-05,expired
50,M00051,Member 051,Female,46,quarterly,basketball,2025-04-02,2025-07-01,expired
51,M00052,Member 052,male,38,monthly,swimming pool,2026-01-02,2026-02-01,expired
52,M00053,Member 053,male,57,quarterly,badminton,2026-03-31,2026-06-29,expired
53,M00054,Member 054,male,25,quarterly,basketball,2026-03-04,2026-06-02,expired
54,M00055,Member 055,Female,47,quarterly,basketball,2026-05-24,2026-08-22,expired
55,M00056,Member 056,male,58,monthly,gym,2025-02-04,2025-03-06,expired
56,M00057,Member 057,male,45,monthly,badminton,2025-07-25,2025-08-24,expired
57,M00058,Member 058,Female,54,annual,swimming pool,2025-03-22,2026-03-22,expired
58,M00059,Member 059,male,46,quarterly,basketball,2026-07-16,2026-10-14,active
59,M00060,Member 060,male,33,quarterly,basketball,2026-01-23,2026-04-23,expired
60,M00061,Member 061,male,51,monthly,gym,2025-01-02,2025-02-01,expired
61,M00062,Member 062,male,17,monthly,football,2026-01-25,2026-02-24,expired
62,M00063,Member 063,male,29,quarterly,swimming pool,2026-07-20,2026-10-18,active
63,M00064,Member 064,male,28,annual,badminton,2025-04-16,2026-04-16,expired
64,M00065,Member 065,Female,44,quarterly,basketball,2026-04-22,2026-07-21,expired
65,M00066,Member 066,male,27,annual,basketball,2026-02-06,2027-02-06,active
66,M00067,Member 067,male,54,quarterly,swimming pool,2026-07-10,2026-10-08,active
67,M00068,Member 068,Female,17,monthly,football,2025-06-11,2025-07-11,expired
68,M00069,Member 069,male,47,monthly,basketball,2025-07-21,2025-08-20,expired
69,M00070,Member 070,Female,28,monthly,swimming pool,2025-09-27,2025-10-27,expired
70,M00071,Member 071,male,61,monthly,gym,2025-09-28,2025-10-28,expired
71,M00072,Member 072,male,42,annual,football,2026-04-01,2027-04-01,active
72,M00073,Member 073,male,64,monthly,badminton,2026-04-07,2026-05-07,expired
73,M00074,Member 074,male,56,monthly,basketball,2025-09-09,2025-10-09,expired
74,M00075,Member 075,male,32,monthly,swimming pool,2025-10-23,2025-11-22,expired
75,M00076,Member 076,male,55,monthly,gym,2025-12-04,2026-01-03,expired
76,M00077,Member 077,male,46,monthly,badminton,2025-02-22,2025-03-24,expired
77,M00078,Member 078,male,49,monthly,swimming pool,2025-08-05,2025-09-04,expired
78,M00079,Member 079,male,39,quarterly,swimming pool,2025-07-07,2025-10-05,expired
79,M00080,Member 080,male,60,monthly,badminton,2026-01-15,2026-02-14,expired
80,M00081,Member 081,male,50,quarterly,gym,2026-05-08,2026-08-06,expired
81,M00082,Member 082,male,63,monthly,gym,2025-02-10,2025-03-12,expired
82,M00083,Member 083,Female,21,monthly,football,2025-06-06,2025-07-06,expired
83,M00084,Member 084,male,34,monthly,basketball,2025-01-15,2025-02-14,expired
84,M00085,Member 085,Female,45,quarterly,badminton,2025-03-06,2025-06-04,expired
85,M00086,Member 086,Female,22,quarterly,badminton,2026-06-05,2026-09-03,active
86,M00087,Member 087,male,25,monthly,badminton,2025-12-10,2026-01-09,expired
87,M00088,Member 088,Female,56,monthly,gym,2025-05-09,2025-06-08,expired
88,M00089,Member 089,Female,47,quarterly,basketball,2026-04-17,2026-07-16,expired
89,M00090,Member 090,male,49,monthly,football,2025-03-04,2025-04-03,expired
90,M00091,Member 091,male,43,monthly,swimming pool,2025-05-19,2025-06-18,expired
91,M00092,Member 092,Female,30,annual,swimming pool,2026-05-14,2027-05-14,active
92,M00093,Member 093,Female,45,quarterly,badminton,2026-08-16,2026-11-14,active
93,M00094,Member 094,male,52,monthly,basketball,2026-01-27,2026-02-26,expired
94,M00095,Member 095,male,44,annual,gym,2026-02-23,2027-02-23,active
95,M00096,Member 096,male,37,quarterly,basketball,2025-10-16,2026-01-14,expired
96,M00097,Member 097,male,19,monthly,basketball,2026-01-14,2026-02-13,expired
97,M00098,Member 098,Female,35,quarterly,gym,2026-05-05,2026-08-03,expired
98,M00099,Member 099,male,47,quarterly,badminton,2025-08-19,2025-11-17,expired
99,M00100,Member 100,male,51,monthly,basketball,2025-02-10,2025-03-12,expired
100,M00101,Member 101,Female,65,monthly,swimming pool,2025-01-28,2025-02-27,expired
101,M00102,Member 102,male,19,monthly,gym,2025-05-15,2025-06-14,expired
102,M00103,Member 103,male,42,quarterly,football,2025-07-20,2025-10-18,expired
103,M00104,Member 104,Female,32,monthly,badminton,2025-02-02,2025-03-04,expired
104,M00105,Member 105,Female,27,annual,gym,2025-02-17,2026-02-17,expired
105,M00106,Member 106,male,37,quarterly,football,2026-05-18,2026-08-16,expired
106,M00107,Member 107,male,32,monthly,football,2026-02-11,2026-03-13,expired
107,M00108,Member 108,male,25,quarterly,basketball,2026-07-28,2026-10-26,active
108,M00109,Member 109,male,16,monthly,basketball,2025-04-09,2025-05-09,expired
109,M00110,Member 110,male,37,quarterly,basketball,2026-07-01,2026-09-29,active
110,M00111,Member 111,male,41,quarterly,gym,2026-04-07,2026-07-06,expired
111,M00112,Member 112,male,33,monthly,gym,2025-01-05,2025-02-04,expired
112,M00113,Member 113,male,65,monthly,badminton,2025-08-06,2025-09-05,expired
113,M00114,Member 114,male,29,monthly,basketball,2026-05-18,2026-06-17,expired
114,M00115,Member 115,male,62,monthly,football,2026-02-02,2026-03-04,expired
115,M00116,Member 116,male,44,monthly,swimming pool,2026-01-28,2026-02-27,expired
116,M00117,Member 117,male,27,monthly,badminton,2025-07-26,2025-08-25,expired
117,M00118,Member 118,male,51,annual,gym,2025-01-15,2026-01-15,expired
118,M00119,Member 119,Female,50,monthly,badminton,2026-07-08,2026-08-07,expired
119,M00120,Member 120,Female,27,monthly,badminton,2026-04-06,2026-05-06,expired
120,M00121,Member 121,Female,22,quarterly,badminton,2026-07-29,2026-10-27,active
121,M00122,Member 122,Female,44,monthly,badminton,2025-08-29,2025-09-28,expired
122,M00123,Member 123,male,26,annual,swimming pool,2026-07-18,2027-07-18,active
123,M00124,Member 124,male,48,quarterly,basketball,2025-04-06,2025-07-05,expired
124,M00125,Member 125,male,21,quarterly,football,2026-04-30,2026-07-29,expired
125,M00126,Member 126,Female,62,monthly,badminton,2026-02-11,2026-03-13,expired
126,M00127,Member 127,Female,30,monthly,badminton,2025-08-19,2025-09-18,expired
127,M00128,Member 128,male,47,monthly,badminton,2025-06-20,2025-07-20,expired
128,M00129,Member 129,male,26,annual,basketball,2026-06-25,2027-06-25,active
129,M00130,Member 130,male,38,monthly,gym,2025-02-05,2025-03-07,expired
130,M00131,Member 131,male,41,monthly,gym,2026-06-09,2026-07-09,expired
131,M00132,Member 132,Female,49,annual,swimming pool,2025-06-09,2026-06-09,expired
132,M00133,Member 133,Female,61,monthly,gym,2025-08-31,2025-09-30,expired
133,M00134,Member 134,male,49,monthly,badminton,2025-03-27,2025-04-26,expired
134,M00135,Member 135,Female,44,monthly,badminton,2026-08-01,2026-08-31,expired
135,M00136,Member 136,Female,19,annual,badminton,2026-07-11,2027-07-11,active
136,M00137,Member 137,male,32,monthly,swimming pool,2026-07-28,2026-08-27,expired
137,M00138,Member 138,male,50,quarterly,badminton,2025-01-28,2025-04-28,expired
138,M00139,Member 139,male,28,quarterly,gym,2026-07-10,2026-10-08,active
139,M00140,Member 140,male,56,monthly,basketball,2025-12-06,2026-01-05,expired
140,M00141,Member 141,male,54,quarterly,basketball,2025-11-27,2026-02-25,expired
141,M00142,Member 142,male,30,monthly,football,2026-05-21,2026-06-20,expired
142,M00143,Member 143,male,44,monthly,gym,2025-12-14,2026-01-13,expired
143,M00144,Member 144,male,44,quarterly,badminton,2026-04-18,2026-07-17,expired
144,M00145,Member 145,Female,26,annual,basketball,2025-08-19,2026-08-19,expired
145,M00146,Member 146,male,47,quarterly,gym,2025-07-09,2025-10-07,expired
146,M00147,Member 147,male,17,monthly,basketball,2025-08-13,2025-09-12,expired
147,M00148,Member 148,male,62,monthly,badminton,2026-01-20,2026-02-19,expired
148,M00149,Member 149,Female,29,monthly,basketball,2026-01-12,2026-02-11,expired
149,M00150,Member 150,male,35,monthly,football,2025-10-10,2025-11-09,expired
150,M00151,Member 151,male,37,monthly,football,2025-09-16,2025-10-16,expired
151,M00152,Member 152,Female,26,monthly,basketball,2025-12-25,2026-01-24,expired
152,M00153,Member 153,Female,42,monthly,gym,2026-04-01,2026-05-01,expired
153,M00154,Member 154,Female,18,monthly,gym,2026-02-15,2026-03-17,expired
154,M00155,Member 155,male,32,monthly,gym,2025-11-14,2025-12-14,expired
155,M00156,Member 156,male,59,monthly,basketball,2025-08-13,2025-09-12,expired
156,M00157,Member 157,Female,43,annual,gym,2025-08-22,2026-08-22,expired
157,M00158,Member 158,Female,44,monthly,badminton,2026-01-09,2026-02-08,expired
158,M00159,Member 159,Female,36,annual,football,2026-08-31,2027-08-31,active
159,M00160,Member 160,Female,62,annual,badminton,2026-04-17,2027-04-17,active
160,M00161,Member 161,male,31,monthly,gym,2025-08-21,2025-09-20,expired
161,M00162,Member 162,Female,52,quarterly,badminton,2025-04-23,2025-07-22,expired
162,M00163,Member 163,male,35,quarterly,gym,2026-05-12,2026-08-10,expired
163,M00164,Member 164,male,21,quarterly,basketball,2026-03-18,2026-06-16,expired
164,M00165,Member 165,male,34,monthly,badminton,2026-07-18,2026-08-17,expired
165,M00166,Member 166,male,20,monthly,basketball,2025-09-25,2025-10-25,expired
166,M00167,Member 167,male,18,monthly,basketball,2026-05-25,2026-06-24,expired
167,M00168,Member 168,male,16,monthly,swimming pool,2026-01-21,2026-02-20,expired
168,M00169,Member 169,Female,53,quarterly,gym,2026-01-22,2026-04-22,expired
169,M00170,Member 170,male,30,quarterly,football,2025-04-23,2025-07-22,expired
170,M00171,Member 171,Female,49,monthly,gym,2025-03-22,2025-04-21,expired
171,M00172,Member 172,male,50,quarterly,football,2025-04-23,2025-07-22,expired
172,M00173,Member 173,male,64,monthly,gym,2025-01-02,2025-02-01,expired
173,M00174,Member 174,male,40,monthly,basketball,2025-08-08,2025-09-07,expired
174,M00175,Member 175,male,39,annual,badminton,2026-07-20,2027-07-20,active
175,M00176,Member 176,male,27,monthly,badminton,2025-08-13,2025-09-12,expired
176,M00177,Member 177,male,33,monthly,swimming pool,2026-01-20,2026-02-19,expired
177,M00178,Member 178,male,30,monthly,football,2026-02-07,2026-03-09,expired
178,M00179,Member 179,Female,59,monthly,football,2025-05-10,2025-06-09,expired
179,M00180,Member 180,male,31,annual,football,2025-02-22,2026-02-22,expired
180,M00181,Member 181,Female,42,quarterly,basketball,2026-02-20,2026-05-21,expired
181,M00182,Member 182,male,23,annual,football,2025-09-04,2026-09-04,active
182,M00183,Member 183,Female,61,quarterly,badminton,2026-03-15,2026-06-13,expired
183,M00184,Member 184,Female,40,monthly,basketball,2025-07-22,2025-08-21,expired
184,M00185,Member 185,Female,32,monthly,gym,2025-07-03,2025-08-02,expired
185,M00186,Member 186,male,44,quarterly,football,2025-05-03,2025-08-01,expired
186,M00187,Member 187,male,23,monthly,football,2026-02-05,2026-03-07,expired
187,M00188,Member 188,male,30,annual,gym,2025-10-21,2026-10-21,active
188,M00189,Member 189,Female,42,annual,football,2025-10-07,2026-10-07,active
189,M00190,Member 190,Female,61,monthly,gym,2025-07-17,2025-08-16,expired
190,M00191,Member 191,Female,65,annual,basketball,2026-05-26,2027-05-26,active
191,M00192,Member 192,male,22,annual,badminton,2025-05-24,2026-05-24,expired
192,M00193,Member 193,Female,18,quarterly,gym,2025-07-20,2025-10-18,expired
193,M00194,Member 194,Female,44,monthly,swimming pool,2025-05-04,2025-06-03,expired
194,M00195,Member 195,male,59,monthly,gym,2025-07-06,2025-08-05,expired
195,M00196,Member 196,male,39,monthly,football,2025-11-22,2025-12-22,expired
196,M00197,Member 197,Female,18,monthly,basketball,2026-04-09,2026-05-09,expired
197,M00198,Member 198,Female,35,monthly,basketball,2025-12-15,2026-01-14,expired
198,M00199,Member 199,Female,61,quarterly,gym,2026-02-07,2026-05-08,expired
199,M00200,Member 200,male,30,monthly,badminton,2025-12-12,2026-01-11,expired
200,M00201,Member 201,Female,40,quarterly,swimming pool,2026-05-26,2026-08-24,expired
201,M00202,Member 202,male,45,annual,basketball,2025-05-27,2026-05-27,expired
202,M00203,Member 203,male,29,annual,football,2025-05-28,2026-05-28,expired
203,M00204,Member 204,male,22,monthly,football,2026-05-04,2026-06-03,expired
204,M00205,Member 205,Female,32,annual,badminton,2026-07-05,2027-07-05,active
205,M00206,Member 206,Female,59,monthly,basketball,2025-12-04,2026-01-03,expired
206,M00207,Member 207,male,35,monthly,gym,2026-04-18,2026-05-18,expired
207,M00208,Member 208,male,51,quarterly,football,2025-05-31,2025-08-29,expired
208,M00209,Member 209,Female,24,monthly,badminton,2026-02-19,2026-03-21,expired
209,M00210,Member 210,male,53,monthly,basketball,2025-10-25,2025-11-24,expired
210,M00211,Member 211,Female,63,quarterly,basketball,2025-09-20,2025-12-19,expired
211,M00212,Member 212,male,37,monthly,basketball,2025-05-24,2025-06-23,expired
212,M00213,Member 213,male,17,monthly,basketball,2025-12-12,2026-01-11,expired
213,M00214,Member 214,male,39,monthly,basketball,2026-07-26,2026-08-25,expired
214,M00215,Member 215,male,23,quarterly,football,2025-01-02,2025-04-02,expired
215,M00216,Member 216,Female,26,quarterly,badminton,2025-10-31,2026-01-29,expired
216,M00217,Member 217,male,28,monthly,basketball,2025-09-11,2025-10-11,expired
217,M00218,Member 218,male,32,monthly,swimming pool,2026-03-29,2026-04-28,expired
218,M00219,Member 219,Female,23,monthly,swimming pool,2025-02-06,2025-03-08,expired
219,M00220,Member 220,male,36,monthly,badminton,2025-06-09,2025-07-09,expired
220,M00221,Member 221,male,33,quarterly,gym,2025-01-09,2025-04-09,expired
221,M00222,Member 222,Female,45,monthly,gym,2025-08-21,2025-09-20,expired
222,M00223,Member 223,Female,33,monthly,gym,2025-04-09,2025-05-09,expired
223,M00224,Member 224,male,61,quarterly,swimming pool,2025-07-27,2025-10-25,expired
224,M00225,Member 225,Female,62,quarterly,gym,2025-05-11,2025-08-09,expired
225,M00226,Member 226,Female,46,quarterly,football,2026-02-08,2026-05-09,expired
226,M00227,Member 227,male,53,monthly,basketball,2025-06-01,2025-07-01,expired
227,M00228,Member 228,male,47,monthly,swimming pool,2025-02-23,2025-03-25,expired
228,M00229,Member 229,Female,26,monthly,badminton,2025-04-30,2025-05-30,expired
229,M00230,Member 230,Female,60,monthly,badminton,2026-08-10,2026-09-09,active
230,M00231,Member 231,male,40,quarterly,basketball,2026-02-24,2026-05-25,expired
231,M00232,Member 232,Female,48,annual,swimming pool,2026-02-26,2027-02-26,active
232,M00233,Member 233,Female,53,quarterly,gym,2025-04-14,2025-07-13,expired
233,M00234,Member 234,male,56,quarterly,gym,2025-09-11,2025-12-10,expired
234,M00235,Member 235,male,23,monthly,football,2025-08-15,2025-09-14,expired
235,M00236,Member 236,male,26,quarterly,football,2025-04-22,2025-07-21,expired
236,M00237,Member 237,Female,37,monthly,gym,2026-05-25,2026-06-24,expired
237,M00238,Member 238,male,39,monthly,badminton,2026-04-18,2026-05-18,expired
238,M00239,Member 239,Female,56,monthly,badminton,2025-04-09,2025-05-09,expired
239,M00240,Member 240,Female,32,monthly,football,2025-06-02,2025-07-02,expired
240,M00241,Member 241,Female,27,monthly,basketball,2025-12-04,2026-01-03,expired
241,M00242,Member 242,male,61,annual,gym,2025-06-12,2026-06-12,expired
242,M00243,Member 243,Female,47,monthly,football,2025-06-10,2025-07-10,expired
243,M00244,Member 244,male,30,monthly,football,2026-08-03,2026-09-02,active
244,M00245,Member 245,Female,31,monthly,gym,2026-02-02,2026-03-04,expired
245,M00246,Member 246,male,37,quarterly,gym,2025-10-04,2026-01-02,expired
246,M00247,Member 247,male,43,quarterly,badminton,2026-05-19,2026-08-17,expired
247,M00248,Member 248,Female,35,quarterly,basketball,2026-01-27,2026-04-27,expired
248,M00249,Member 249,male,48,monthly,basketball,2025-05-15,2025-06-14,expired
249,M00250,Member 250,male,25,quarterly,gym,2025-07-14,2025-10-12,expired
250,M00251,Member 251,Female,55,monthly,swimming pool,2026-02-05,2026-03-07,expired
251,M00252,Member 252,Female,47,annual,football,2025-02-02,2026-02-02,expired
252,M00253,Member 253,Female,65,quarterly,football,2026-04-05,2026-07-04,expired
253,M00254,Member 254,Female,48,monthly,gym,2026-04-15,2026-05-15,expired
254,M00255,Member 255,male,17,monthly,swimming pool,2026-01-10,2026-02-09,expired
255,M00256,Member 256,male,48,monthly,badminton,2025-01-22,2025-02-21,expired
256,M00257,Member 257,male,48,monthly,gym,2025-02-07,2025-03-09,expired
257,M00258,Member 258,male,56,monthly,gym,2025-08-18,2025-09-17,expired
258,M00259,Member 259,Female,28,quarterly,football,2025-12-31,2026-03-31,expired
259,M00260,Member 260,Female,45,monthly,gym,2026-07-17,2026-08-16,expired
260,M00261,Member 261,male,48,monthly,gym,2026-03-14,2026-04-13,expired
261,M00262,Member 262,male,28,monthly,gym,2025-10-10,2025-11-09,expired
262,M00263,Member 263,Female,41,monthly,football,2025-01-27,2025-02-26,expired
263,M00264,Member 264,male,37,annual,badminton,2025-08-14,2026-08-14,expired
264,M00265,Member 265,Female,54,monthly,badminton,2025-10-04,2025-11-03,expired
265,M00266,Member 266,male,17,quarterly,gym,2025-10-11,2026-01-09,expired
266,M00267,Member 267,Female,53,annual,football,2026-04-26,2027-04-26,active
267,M00268,Member 268,male,54,quarterly,badminton,2026-03-29,2026-06-27,expired
268,M00269,Member 269,Female,41,annual,badminton,2026-05-31,2027-05-31,active
269,M00270,Member 270,Female,61,monthly,badminton,2026-07-01,2026-07-31,expired
270,M00271,Member 271,Female,65,annual,football,2025-07-11,2026-07-11,expired
271,M00272,Member 272,Female,30,monthly,football,2025-02-18,2025-03-20,expired
272,M00273,Member 273,Female,49,monthly,gym,2026-05-27,2026-06-26,expired
273,M00274,Member 274,Female,57,quarterly,basketball,2025-01-17,2025-04-17,expired
274,M00275,Member 275,male,59,annual,badminton,2025-06-21,2026-06-21,expired
275,M00276,Member 276,Female,64,annual,basketball,2025-08-08,2026-08-08,expired
276,M00277,Member 277,Female,55,monthly,football,2025-06-07,2025-07-07,expired
277,M00278,Member 278,male,26,monthly,football,2026-04-22,2026-05-22,expired
278,M00279,Member 279,Female,18,annual,football,2025-02-15,2026-02-15,expired
279,M00280,Member 280,Female,21,monthly,basketball,2026-01-08,2026-02-07,expired
280,M00281,Member 281,Female,24,quarterly,football,2026-06-02,2026-08-31,expired
281,M00282,Member 282,male,21,annual,gym,2025-04-09,2026-04-09,expired
282,M00283,Member 283,male,24,monthly,football,2025-02-06,2025-03-08,expired
283,M00284,Member 284,Female,54,monthly,swimming pool,2025-10-07,2025-11-06,expired
284,M00285,Member 285,Female,46,monthly,basketball,2025-12-15,2026-01-14,expired
285,M00286,Member 286,male,47,monthly,swimming pool,2026-05-12,2026-06-11,expired
286,M00287,Member 287,Female,56,annual,football,2025-10-29,2026-10-29,active
287,M00288,Member 288,Female,65,monthly,gym,2025-06-30,2025-07-30,expired
288,M00289,Member 289,male,27,annual,badminton,2026-08-30,2027-08-30,active
289,M00290,Member 290,Female,23,monthly,football,2025-04-09,2025-05-09,expired
290,M00291,Member 291,male,23,annual,gym,2025-04-26,2026-04-26,expired
291,M00292,Member 292,male,65,monthly,basketball,2025-07-10,2025-08-09,expired
292,M00293,Member 293,male,43,monthly,swimming pool,2025-09-10,2025-10-10,expired
293,M00294,Member 294,Female,35,monthly,swimming pool,2025-06-10,2025-07-10,expired
294,M00295,Member 295,male,62,quarterly,swimming pool,2025-09-13,2025-12-12,expired
295,M00296,Member 296,male,22,quarterly,basketball,2025-11-19,2026-02-17,expired
296,M00297,Member 297,male,26,annual,gym,2025-05-08,2026-05-08,expired
297,M00298,Member 298,male,35,monthly,basketball,2025-01-18,2025-02-17,expired
298,M00299,Member 299,Female,31,monthly,swimming pool,2026-07-20,2026-08-19,expired
299,M00300,Member 300,male,19,monthly,football,2026-07-24,2026-08-23,expired
300,M00301,Member 301,male,21,monthly,badminton,2025-11-19,2025-12-19,expired
301,M00302,Member 302,Female,37,monthly,basketball,2025-10-15,2025-11-14,expired
302,M00303,Member 303,male,41,annual,basketball,2025-06-04,2026-06-04,expired
303,M00304,Member 304,male,18,annual,gym,2026-05-05,2027-05-05,active
304,M00305,Member 305,male,56,annual,gym,2026-01-21,2027-01-21,active
305,M00306,Member 306,male,57,quarterly,basketball,2025-04-14,2025-07-13,expired
306,M00307,Member 307,male,29,monthly,swimming pool,2026-01-28,2026-02-27,expired
307,M00308,Member 308,male,26,monthly,badminton,2025-09-03,2025-10-03,expired
308,M00309,Member 309,male,33,monthly,gym,2025-06-25,2025-07-25,expired
309,M00310,Member 310,Female,27,annual,swimming pool,2025-02-08,2026-02-08,expired
310,M00311,Member 311,male,38,monthly,football,2026-04-22,2026-05-22,expired
311,M00312,Member 312,Female,27,monthly,gym,2026-06-22,2026-07-22,expired
312,M00313,Member 313,Female,28,monthly,swimming pool,2026-02-12,2026-03-14,expired
313,M00314,Member 314,male,40,monthly,swimming pool,2026-06-09,2026-07-09,expired
314,M00315,Member 315,Female,60,annual,badminton,2026-05-21,2027-05-21,active
315,M00316,Member 316,male,34,quarterly,badminton,2025-02-05,2025-05-06,expired
316,M00317,Member 317,Female,61,monthly,football,2025-01-20,2025-02-19,expired
317,M00318,Member 318,male,51,annual,swimming pool,2025-11-17,2026-11-17,active
318,M00319,Member 319,male,60,quarterly,swimming pool,2026-05-27,2026-08-25,expired
319,M00320,Member 320,male,23,monthly,badminton,2026-02-04,2026-03-06,expired
320,M00321,Member 321,Female,44,monthly,gym,2026-04-16,2026-05-16,expired
321,M00322,Member 322,male,47,monthly,gym,2025-05-23,2025-06-22,expired
322,M00323,Member 323,Female,59,monthly,basketball,2025-04-02,2025-05-02,expired
323,M00324,Member 324,male,33,annual,badminton,2025-12-20,2026-12-20,active
324,M00325,Member 325,Female,21,monthly,basketball,2025-02-20,2025-03-22,expired
325,M00326,Member 326,male,33,annual,badminton,2026-07-29,2027-07-29,active
326,M00327,Member 327,Female,34,monthly,football,2025-07-09,2025-08-08,expired
327,M00328,Member 328,male,37,monthly,swimming pool,2025-05-05,2025-06-04,expired
328,M00329,Member 329,male,52,monthly,football,2025-05-30,2025-06-29,expired
329,M00330,Member 330,male,47,monthly,badminton,2025-11-10,2025-12-10,expired
330,M00331,Member 331,male,56,monthly,swimming pool,2026-07-24,2026-08-23,expired
331,M00332,Member 332,Female,18,annual,gym,2025-12-08,2026-12-08,active
332,M00333,Member 333,male,43,monthly,gym,2025-11-01,2025-12-01,expired
333,M00334,Member 334,Female,25,quarterly,basketball,2025-02-23,2025-05-24,expired
334,M00335,Member 335,male,50,monthly,badminton,2026-03-20,2026-04-19,expired
335,M00336,Member 336,male,44,monthly,badminton,2025-09-21,2025-10-21,expired
336,M00337,Member 337,male,30,monthly,gym,2025-02-22,2025-03-24,expired
337,M00338,Member 338,male,48,quarterly,football,2026-07-26,2026-10-24,active
338,M00339,Member 339,Female,22,monthly,swimming pool,2025-01-05,2025-02-04,expired
339,M00340,Member 340,male,27,monthly,football,2025-04-13,2025-05-13,expired
340,M00341,Member 341,male,64,quarterly,football,2025-07-15,2025-10-13,expired
341,M00342,Member 342,Female,45,monthly,gym,2025-12-16,2026-01-15,expired
342,M00343,Member 343,Female,36,monthly,gym,2025-02-16,2025-03-18,expired
343,M00344,Member 344,male,46,monthly,gym,2025-09-26,2025-10-26,expired
344,M00345,Member 345,male,39,annual,basketball,2026-01-05,2027-01-05,active
345,M00346,Member 346,Female,35,quarterly,football,2025-04-16,2025-07-15,expired
346,M00347,Member 347,male,52,monthly,badminton,2025-04-30,2025-05-30,expired
347,M00348,Member 348,male,19,monthly,swimming pool,2026-08-27,2026-09-26,active
