,member_id,attendance_date,facility,check_in_time
97,M00241,2026-06-22,badminton,13:15
98,M00151,2026-01-07,gym,13:45
99,M00075,2026-04-27,basketball,12:45
100,M00507,2026-04-13,swimming pool,10:00
101,M00110,2026-07-19,basketball,13:15
102,M00531,2026-04-29,gym,13:00
103,M00468,2026-02-04,basketball,16:45
104,M00517,2026-04-20,football,20:15
105,M00487,2026-04-26,badminton,13:30
106,M00534,2026-05-05,swimming pool,14:45
107,M00080,2026-07-02,badminton,13:30
108,M00344,2026-03-23,football,08:15
109,M00155,2026-03-01,basketball,10:15
110,M00066,2026-04-17,basketball,16:45
111,M00426,2026-01-16,swimming pool,19:45
112,M00599,2026-08-31,gym,18:45
113,M00007,2026-08-30,badminton,15:45
114,M00430,2026-05-18,football,13:45
115,M00225,2026-03-11,basketball,21:00
116,M00399,2026-03-28,basketball,11:45
117,M00131,2026-06-09,football,06:45
118,M00578,2026-06-19,gym,08:45
119,M00139,2026-08-10,basketball,11:00
120,M00267,2026-04-08,badminton,12:45
121,M00335,2026-03-28,basketball,14:45
122,M00259,2026-08-02,gym,21:00
123,M00553,2026-01-14,badminton,13:00
124,M00042,2026-07-13,gym,13:15
125,M00021,2026-06-09,swimming pool,13:15
126,M00485,2026-06-21,gym,12:45
127,M00263,2026-07-16,badminton,11:00
128,M00168,2026-03-21,gym,06:30
129,M00590,2026-06-23,basketball,18:15
130,M00078,2026-06-01,swimming pool,09:30
131,M00124,2026-07-23,football,07:30
132,M00546,2026-04-20,badminton,08:30
133,M00013,2026-08-06,basketball,21:00
134,M00444,2026-04-03,basketball,10:45
135,M00181,2026-07-07,football,14:45
136,M00477,2026-04-22,football,14:30
137,M00252,2026-08-01,gym,14:45
138,M00250,2026-07-12,basketball,18:30
139,M00030,2026-05-07,badminton,11:45
140,M00218,2026-04-01,badminton,16:30
141,M00283,2026-05-23,gym,12:00
142,M00248,2026-07-04,basketball,21:15
143,M00488,2026-06-15,basketball,20:00
144,M00096,2026-03-17,swimming pool,18:15
145,M00314,2026-06-19,football,17:45
146,M00567,2026-05-16,badminton,19:30
147,M00361,2026-06-29,basketball,14:30
148,M00258,2026-03-01,gym,12:30
149,M00123,2026-07-10,football,11:15
150,M00222,2026-07-09,basketball,14:30
151,M00103,2026-08-02,swimming pool,15:15
152,M00370,2026-02-15,badminton,06:15
153,M00281,2026-01-12,gym,15:15
154,M00503,2026-01-27,gym,15:45
155,M00491,2026-04-23,badminton,11:00
156,M00259,2026-08-29,basketball,09:00
157,M00411,2026-05-06,gym,07:15
158,M00153,2026-07-27,football,15:00
159,M00255,2026-01-31,football,19:15
160,M00536,2026-04-08,basketball,20:30
161,M00440,2026-03-20,football,07:00
162,M00213,2026-06-10,swimming pool,14:00
163,M00161,2026-03-03,swimming pool,08:15
164,M00003,2026-04-15,basketball,21:30
165,M00034,2026-03-01,badminton,15:45
166,M00073,2026-06-25,swimming pool,14:15
167,M00436,2026-01-30,football,13:15
168,M00273,2026-07-31,swimming pool,08:00
169,M00170,2026-07-22,badminton,15:45
170,M00128,2026-04-30,badminton,18:30
171,M00513,2026-05-19,basketball,20:00
172,M00041,2026-08-16,basketball,16:30
173,M00027,2026-01-24,swimming pool,06:30
174,M00591,2026-01-11,swimming pool,21:45
175,M00285,2026-02-16,football,19:45
176,M00094,2026-05-01,badminton,19:30
177,M00329,2026-06-21,gym,11:30
178,M00422,2026-06-27,basketball,15:45
179,M00564,2026-01-10,basketball,08:30
180,M00259,2026-03-24,gym,18:00
181,M00556,2026-04-29,basketball,07:15
182,M00531,2026-04-03,football,21:45
183,M00053,2026-02-22,badminton,10:30
184,M00449,2026-08-14,basketball,09:00
185,M00246,2026-07-01,swimming pool,15:00
186,M00566,2026-04-15,gym,13:00
187,M00473,2026-08-31,gym,10:45
188,M00299,2026-05-11,badminton,19:45
189,M00484,2026-03-04,basketball,10:45
190,M00196,2026-08-24,football,10:00
191,M00283,2026-07-17,basketball,16:30
192,M00003,2026-03-14,badminton,21:15
193,M00458,2026-05-18,basketball,17:30
194,M00566,2026-07-15,football,18:45
195,M00330,2026-08-11,swimming pool,13:45
196,M00240,2026-08-08,basketball,07:30
197,M00485,2026-06-30,basketball,18:15
198,M00508,2026-01-10,swimming pool,16:00
199,M00451,2026-01-26,football,20:00
200,M00148,2026-04-15,swimming pool,08:45
201,M00272,2026-03-28,football,18:00
202,M00337,2026-08-07,football,18:30
203,M00500,2026-08-12,football,07:00
204,M00241,2026-06-11,badminton,13:00
205,M00445,2026-01-26,gym,20:15
206,M00307,2026-08-20,gym,07:30
207,M00058,2026-03-17,badminton,17:45
208,M00150,2026-03-04,football,19:15
209,M00175,2026-02-14,gym,18:15
210,M00510,2026-08-22,football,10:15
211,M00473,2026-06-13,badminton,20:30
212,M00010,2026-08-19,basketball,15:15
213,M00076,2026-04-24,badminton,15:45
214,M00257,2026-04-27,badminton,12:45
215,M00495,2026-01-28,swimming pool,18:30
216,M00589,2026-03-17,badminton,06:45
217,M00282,2026-01-03,football,07:45
218,M00294,2026-07-18,swimming pool,17:15
219,M00195,2026-06-08,badminton,10:00
220,M00041,2026-03-21,basketball,07:30
221,M00135,2026-01-24,badminton,16:45
222,M00180,2026-02-21,swimming pool,17:30
223,M00169,2026-03-07,basketball,15:30
224,M00118,2026-04-30,gym,10:15
225,M00407,2026-08-05,football,17:00
226,M00405,2026-01-04,badminton,09:45
227,M00378,2026-06-22,badminton,18:30
228,M00111,2026-06-22,swimming pool,21:00
229,M00575,2026-03-25,football,13:00
230,M00476,2026-08-21,badminton,19:00
231,M00144,2026-01-12,gym,15:45
232,M00119,2026-01-25,swimming pool,10:45
233,M00465,2026-04-05,football,19:15
234,M00425,2026-06-17,gym,21:45
235,M00287,2026-01-09,badminton,12:45
236,M00456,2026-03-02,badminton,09:30
237,M00558,2026-08-19,badminton,07:45
238,M00283,2026-02-18,gym,20:00
239,M00218,2026-06-14,football,06:00
240,M00342,2026-03-04,swimming pool,12:00
241,M00568,2026-02-23,football,12:15
242,M00337,2026-07-18,swimming pool,06:30
243,M00149,2026-02-03,football,14:15
244,M00113,2026-06-19,gym,10:00
245,M00367,2026-07-22,swimming pool,16:00
246,M00179,2026-03-09,gym,10:45
247,M00539,2026-01-30,gym,21:45
248,M00371,2026-05-12,football,09:45
249,M00516,2026-02-26,football,07:30
250,M00470,2026-06-14,gym,07:45
251,M00412,2026-04-20,gym,21:45
252,M00076,2026-08-19,gym,16:15
253,M00068,2026-02-02,badminton,16:45
254,M00544,2026-03-17,basketball,19:00
255,M00118,2026-08-07,football,12:45
256,M00463,2026-08-16,swimming pool,19:30
257,M00465,2026-04-13,basketball,09:30
258,M00438,2026-03-22,badminton,17:15
259,M00486,2026-01-18,gym,08:00
260,M00443,2026-01-25,badminton,10:00
261,M00576,2026-05-24,badminton,09:45
262,M00363,2026-08-12,basketball,07:30
263,M00320,2026-04-01,gym,12:15
264,M00494,2026-02-27,gym,17:30
265,M00118,2026-07-15,badminton,13:45
266,M00575,2026-07-16,football,06:30
267,M00030,2026-02-16,badminton,15:30
268,M00360,2026-01-02,swimming pool,10:45
269,M00072,2026-02-06,gym,08:15
270,M00386,2026-04-18,basketball,16:15
271,M00379,2026-03-21,badminton,08:00
272,M00160,2026-02-10,football,07:00
273,M00279,2026-04-24,basketball,21:45
274,M00425,2026-03-11,swimming pool,09:30
275,M00441,2026-01-29,badminton,21:30
276,M00047,2026-02-26,basketball,07:00
277,M00210,2026-03-19,swimming pool,10:30
278,M00297,2026-03-25,gym,06:45
279,M00441,2026-02-14,swimming pool,18:15
280,M00513,2026-05-24,badminton,08:45
281,M00044,2026-04-22,gym,20:00
282,M00321,2026-05-28,basketball,18:45
283,M00297,2026-01-30,basketball,06:30
284,M00176,2026-07-25,football,20:30
285,M00091,2026-04-22,gym,13:45
286,M00411,2026-05-15,gym,18:30
287,M00348,2026-02-26,badminton,11:00
288,M00523,2026-06-12,gym,12:30
289,M00360,2026-07-06,swimming pool,13:00
290,M00150,2026-03-07,swimming pool,11:15
291,M00078,2026-02-15,basketball,20:45
292,M00579,2026-06-14,football,16:30
293,M00155,2026-04-23,gym,21:45
294,M00311,2026-07-23,badminton,07:30
295,M00520,2026-01-19,badminton,20:45
296,M00039,2026-01-15,badminton,15:00
297,M00093,2026-06-07,football,18:45
298,M00595,2026-05-22,gym,20:15
299,M00330,2026-06-04,basketball,10:00
300,M00462,2026-01-27,badminton,08:15
301,M00041,2026-03-05,basketball,20:15
302,M00373,2026-04-06,badminton,18:45
303,M00347,2026-06-23,football,07:30
304,M00068,2026-03-26,gym,18:30
305,M00259,2026-07-05,football,10:30
306,M00084,2026-05-30,swimming pool,17:30
307,M00402,2026-02-03,football,08:30
308,M00573,2026-04-07,badminton,10:00
309,M00434,2026-05-11,badminton,06:30
310,M00317,2026-02-16,swimming pool,16:45
311,M00197,2026-02-27,swimming pool,10:00
312,M00303,2026-08-05,gym,07:30
313,M00135,2026-06-02,basketball,10:15
314,M00186,2026-08-01,football,11:45
315,M00045,2026-04-16,badminton,13:45
316,M00292,2026-07-12,basketball,13:15
317,M00317,2026-07-27,basketball,12:30
318,M00585,2026-04-23,basketball,15:45
319,M00515,2026-05-16,basketball,11:15
320,M00142,2026-08-12,badminton,07:45
321,M00381,2026-05-22,gym,09:30
322,M00086,2026-07-15,swimming pool,14:45
323,M00526,2026-02-07,basketball,08:15
324,M00462,2026-08-15,badminton,06:45
325,M00055,2026-04-12,football,17:15
326,M00396,2026-01-21,badminton,13:00
327,M00327,2026-08-27,gym,16:15
328,M00141,2026-01-10,badminton,21:15
329,M00481,2026-04-25,football,06:00
330,M00020,2026-03-07,swimming pool,10:45
331,M00114,2026-07-18,badminton,13:30
332,M00125,2026-01-13,swimming pool,19:45
333,M00065,2026-01-29,basketball,06:15
334,M00148,2026-03-16,basketball,06:30
335,M00247,2026-05-27,basketball,11:00
336,M00537,2026-04-03,gym,06:45
337,M00482,2026-01-12,basketball,17:30
338,M00017,2026-04-02,gym,17:15
339,M00107,2026-07-17,football,16:15
340,M00046,2026-04-01,football,16:15
341,M00476,2026-06-28,basketball,11:15
342,M00065,2026-07-03,basketball,07:30
343,M00207,2026-01-12,swimming pool,07:30
344,M00318,2026-05-12,basketball,21:30
345,M00038,2026-07-12,swimming pool,15:30
346,M00049,2026-08-10,badminton,14:00
347,M00377,2026-04-22,basketball,20:45
348,M00348,2026-02-17,basketball,21:30
349,M00532,2026-03-10,gym,19:00
350,M00441,2026-06-04,swimming pool,15:30
351,M00106,2026-01-21,badminton,15:30
352,M00457,2026-06-04,basketball,11:45
353,M00360,2026-04-25,gym,17:45
354,M00282,2026-06-13,gym,08:45
355,M00373,2026-05-12,swimming pool,06:15
356,M00449,2026-01-09,swimming pool,08:15
357,M00376,2026-04-03,basketball,07:15
358,M00461,2026-08-31,badminton,17:45
359,M00079,2026-05-27,swimming pool,17:45
360,M00322,2026-06-16,badminton,13:00
361,M00027,2026-07-08,swimming pool,21:45
362,M00576,2026-01-31,badminton,14:45
363,M00220,2026-06-06,badminton,21:15
364,M00126,2026-02-04,gym,20:15
365,M00456,2026-01-23,badminton,17:00
366,M00564,2026-05-19,badminton,15:15
367,M00179,2026-07-23,badminton,13:00
368,M00206,2026-07-22,swimming pool,13:45
369,M00027,2026-04-03,football,17:45
370,M00565,2026-02-03,football,08:00
371,M00317,2026-04-12,basketball,19:45
372,M00589,2026-01-19,swimming pool,16:00
373,M00461,2026-04-30,football,17:15
374,M00565,2026-06-13,football,11:15
375,M00444,2026-05-09,gym,09:15
376,M00312,2026-02-12,swimming pool,16:15
377,M00355,2026-08-31,football,15:00
378,M00257,2026-02-20,football,14:15
379,M00311,2026-06-07,football,08:15
380,M00595,2026-02-09,swimming pool,16:00
381,M00030,2026-01-21,gym,14:15
382,M00586,2026-04-17,football,06:45
383,M00559,2026-03-16,badminton,21:15
384,M00416,2026-03-18,basketball,08:00
385,M00162,2026-04-23,basketball,21:45
386,M00209,2026-03-29,football,10:30
387,M00327,2026-07-07,badminton,18:15
388,M00380,2026-05-12,football,09:30
389,M00248,2026-04-30,gym,14:45
390,M00254,2026-02-06,gym,07:30
391,M00394,2026-08-10,football,19:15
392,M00164,2026-07-28,badminton,16:15
393,M00164,2026-05-08,football,20:45
394,M00316,2026-05-08,gym,08:45
395,M00518,2026-04-28,swimming pool,12:30
396,M00050,2026-01-13,badminton,21:45
397,M00293,2026-05-18,gym,09:45
398,M00138,2026-08-14,badminton,17:45
399,M00375,2026-01-12,basketball,07:15
400,M00372,2026-05-22,badminton,08:45
401,M00517,2026-04-26,football,14:00
402,M00132,2026-01-25,basketball,17:30
403,M00572,2026-08-29,badminton,10:15
404,M00522,2026-04-13,football,07:00
405,M00040,2026-02-05,badminton,21:45
406,M00153,2026-06-05,football,10:30
407,M00327,2026-02-11,basketball,15:30
408,M00520,2026-08-01,football,21:30
409,M00487,2026-07-28,gym,17:30
410,M00113,2026-04-17,football,15:00
411,M00486,2026-03-09,football,13:00
412,M00598,2026-05-03,swimming pool,18:15
413,M00249,2026-01-09,football,09:15
414,M00020,2026-04-23,badminton,19:15
415,M00423,2026-06-26,swimming pool,19:45
416,M00064,2026-06-30,swimming pool,12:30
417,M00490,2026-05-15,basketball,16:15
418,M00471,2026-08-22,football,16:30
419,M00271,2026-06-06,basketball,12:15
420,M00286,2026-05-23,badminton,13:30
421,M00296,2026-06-30,swimming pool,21:30
422,M00492,2026-03-31,football,14:30
423,M00125,2026-05-27,football,18:45
424,M00354,2026-07-17,swimming pool,15:00
425,M00295,2026-07-02,gym,17:45
426,M00263,2026-07-11,basketball,12:15
427,M00552,2026-03-11,football,14:15
428,M00112,2026-06-07,football,13:15
429,M00052,2026-06-21,football,13:15
430,M00054,2026-01-26,basketball,16:45
431,M00103,2026-06-24,swimming pool,06:15
432,M00417,2026-06-17,basketball,21:15
433,M00295,2026-03-24,badminton,07:00
434,M00588,2026-03-01,football,07:15
435,M00428,2026-08-14,swimming pool,07:45
436,M00508,2026-02-17,badminton,07:00
437,M00306,2026-05-26,football,09:30
438,M00292,2026-04-27,football,21:15
439,M00517,2026-04-30,badminton,12:00
440,M00339,2026-02-11,basketball,14:15
441,M00015,2026-07-08,badminton,15:15
442,M00180,2026-06-06,basketball,19:30
443,M00089,2026-04-13,gym,11:15
444,M00489,2026-03-24,swimming pool,06:30
445,M00393,2026-03-02,basketball,14:30
446,M00310,2026-05-30,football,06:30
447,M00369,2026-06-27,swimming pool,07:00
448,M00477,2026-03-20,swimming pool,18:30
449,M00121,2026-06-13,badminton,17:15
450,M00225,2026-02-04,basketball,10:45
451,M00383,2026-04-17,football,21:15
452,M00254,2026-06-24,football,08:45
453,M00541,2026-06-30,badminton,08:00
454,M00064,2026-08-01,football,12:15
455,M00169,2026-03-25,football,20:00
456,M00211,2026-07-03,football,21:00
457,M00523,2026-04-25,gym,20:15
458,M00526,2026-04-17,basketball,07:45
459,M00316,2026-07-05,gym,18:30
460,M00004,2026-07-10,swimming pool,08:00
461,M00434,2026-03-30,gym,07:00
462,M00484,2026-01-09,badminton,19:15
463,M00139,2026-07-16,basketball,17:45
464,M00460,2026-08-11,basketball,18:00
465,M00553,2026-02-04,badminton,09:15
466,M00551,2026-04-11,football,10:15
467,M00004,2026-07-13,gym,15:45
468,M00558,2026-04-19,football,18:15
469,M00254,2026-04-28,badminton,10:30
470,M00194,2026-08-28,gym,07:45
471,M00017,2026-03-03,swimming pool,08:00
472,M00035,2026-04-25,football,07:15
473,M00046,2026-04-13,basketball,13:15
474,M00058,2026-02-05,football,15:15
475,M00590,2026-03-23,football,16:15
476,M00310,2026-08-13,swimming pool,13:45
477,M00308,2026-03-12,gym,11:45
478,M00570,2026-05-07,gym,17:45
479,M00538,2026-03-23,basketball,19:15
480,M00308,2026-04-07,swimming pool,21:15
481,M00231,2026-03-18,swimming pool,20:00
482,M00576,2026-04-16,basketball,10:45
483,M00249,2026-03-07,swimming pool,16:00
484,M00461,2026-08-05,badminton,08:15
485,M00053,2026-03-10,basketball,07:00
486,M00193,2026-07-25,football,12:45
487,M00214,2026-08-11,badminton,15:00
488,M00217,2026-08-28,swimming pool,09:45
489,M00249,2026-06-28,football,12:45
490,M00246,2026-05-22,badminton,15:45
491,M00478,2026-05-17,badminton,15:30
492,M00369,2026-05-12,basketball,20:00
493,M00481,2026-07-14,badminton,12:30
494,M00321,2026-04-16,gym,13:15
495,M00017,2026-03-08,football,19:30
496,M00157,2026-02-20,badminton,13:45
497,M00584,2026-08-02,swimming pool,21:30
498,M00264,2026-07-15,basketball,21:45
499,M00173,2026-07-07,badminton,11:15
500,M00560,2026-05-06,swimming pool,07:00
501,M00077,2026-08-30,gym,06:45
502,M00141,2026-08-04,swimming pool,08:15
503,M00010,2026-02-25,football,20:30
504,M00062,2026-06-08,football,21:45
505,M00017,2026-01-02,football,19:00
506,M00018,2026-05-16,badminton,15:00
507,M00515,2026-07-28,basketball,11:00
508,M00099,2026-05-15,swimming pool,13:15
509,M00540,2026-03-06,badminton,14:45
510,M00081,2026-04-06,basketball,20:15
511,M00232,2026-03-18,gym,07:00
512,M00416,2026-04-08,basketball,21:00
513,M00010,2026-06-29,swimming pool,08:45
514,M00445,2026-06-15,badminton,09:00
515,M00236,2026-02-24,football,21:30
516,M00048,2026-08-25,gym,14:00
517,M00184,2026-08-26,badminton,06:15
518,M00148,2026-07-12,basketball,08:30
519,M00167,2026-05-25,swimming pool,18:30
520,M00394,2026-07-13,swimming pool,08:30
521,M00055,2026-01-26,basketball,13:00
522,M00349,2026-06-04,football,18:30
523,M00031,2026-06-12,badminton,20:45
524,M00234,2026-04-02,football,18:45
525,M00191,2026-06-24,football,18:00
526,M00303,2026-07-24,swimming pool,08:00
527,M00275,2026-02-09,basketball,10:45
528,M00325,2026-04-03,gym,08:00
529,M00316,2026-04-24,badminton,14:00
530,M00136,2026-01-23,swimming pool,19:45
531,M00571,2026-05-23,football,19:00
532,M00027,2026-01-23,badminton,08:30
533,M00395,2026-01-04,badminton,19:45
534,M00087,2026-07-05,football,13:15
535,M00390,2026-02-13,swimming pool,14:30
536,M00275,2026-05-07,swimming pool,08:15
537,M00446,2026-03-12,basketball,15:45
538,M00079,2026-04-03,badminton,13:45
539,M00201,2026-04-28,gym,10:30
540,M00007,2026-08-31,basketball,16:45
541,M00338,2026-04-23,badminton,19:15
542,M00308,2026-03-24,football,12:45
543,M00322,2026-02-15,basketball,16:30
544,M00503,2026-05-28,swimming pool,16:45
545,M00288,2026-07-29,basketball,17:00
546,M00578,2026-02-21,football,11:00
547,M00473,2026-08-30,swimming pool,20:30
548,M00071,2026-07-29,basketball,21:15
549,M00311,2026-03-03,badminton,10:45
550,M00387,2026-01-19,basketball,21:45
551,M00548,2026-05-10,basketball,07:30
552,M00550,2026-06-02,gym,09:15
553,M00364,2026-02-12,football,07:45
554,M00340,2026-07-23,basketball,09:00
555,M00101,2026-03-08,swimming pool,13:45
556,M00384,2026-04-11,basketball,10:30
557,M00026,2026-05-04,gym,15:45
558,M00088,2026-01-30,swimming pool,17:30
559,M00352,2026-04-27,swimming pool,21:30
560,M00488,2026-01-25,basketball,20:30
561,M00069,2026-03-18,gym,09:00
562,M00352,2026-06-15,gym,11:15
563,M00529,2026-02-14,football,11:30
564,M00574,2026-04-20,basketball,13:45
565,M00189,2026-02-17,basketball,18:00
566,M00203,2026-04-26,football,19:45
567,M00005,2026-06-30,swimming pool,12:30
568,M00065,2026-05-28,gym,11:30
569,M00334,2026-02-20,basketball,09:30
570,M00502,2026-05-16,badminton,18:45
571,M00117,2026-03-31,badminton,20:15
572,M00305,2026-08-24,football,08:15
573,M00321,2026-01-31,swimming pool,15:00
574,M00188,2026-04-06,swimming pool,18:45
575,M00142,2026-05-28,basketball,19:15
576,M00499,2026-06-12,football,11:15
577,M00502,2026-03-15,swimming pool,11:30
578,M00462,2026-06-08,gym,17:00
579,M00497,2026-02-04,swimming pool,18:45
580,M00419,2026-06-25,basketball,19:45
581,M00501,2026-02-12,gym,06:15
582,M00300,2026-01-09,badminton,13:30
583,M00173,2026-07-19,basketball,21:00
584,M00587,2026-01-30,badminton,17:00
585,M00452,2026-05-20,swimming pool,19:00
586,M00254,2026-03-18,gym,20:30
587,M00357,2026-08-09,gym,20:00
588,M00243,2026-02-23,football,17:45
589,M00170,2026-06-07,swimming pool,12:15
590,M00061,2026-05-26,badminton,14:15
591,M00332,2026-06-30,badminton,15:30
592,M00527,2026-08-19,gym,10:45
593,M00061,2026-03-12,swimming pool,10:15
594,M00150,2026-07-02,badminton,13:45
595,M00502,2026-02-06,football,14:45
596,M00385,2026-04-26,gym,08:45
597,M00528,2026-07-11,badminton,17:45
598,M00500,2026-03-25,football,06:00
599,M00470,2026-06-12,badminton,08:45
600,M00224,2026-04-20,swimming pool,21:30
601,M00331,2026-08-01,badminton,16:15
602,M00580,2026-08-07,basketball,16:00
603,M00048,2026-01-26,basketball,06:00
604,M00162,2026-04-23,basketball,06:45
605,M00208,2026-06-26,swimming pool,15:15
606,M00281,2026-01-24,badminton,14:00
607,M00381,2026-06-20,swimming pool,07:45
608,M00313,2026-07-05,swimming pool,19:00
609,M00098,2026-01-01,swimming pool,21:00
610,M00136,2026-06-01,swimming pool,20:00
611,M00009,2026-06-28,badminton,09:45
612,M00136,2026-05-03,gym,13:45
613,M00092,2026-07-07,gym,09:30
614,M00377,2026-08-14,badminton,10:45
615,M00137,2026-06-14,swimming pool,08:00
616,M00169,2026-04-23,badminton,12:15
617,M00422,2026-06-07,basketball,12:00
618,M00103,2026-02-05,gym,18:30
619,M00440,2026-03-22,swimming pool,13:30
620,M00087,2026-03-05,football,15:00
621,M00309,2026-02-22,football,12:45
622,M00303,2026-06-15,gym,13:45
623,M00396,2026-01-29,swimming pool,21:00
624,M00541,2026-08-16,gym,17:30
625,M00136,2026-04-10,football,19:30
626,M00560,2026-06-24,swimming pool,21:00
627,M00018,2026-05-31,gym,06:30
628,M00221,2026-01-11,gym,18:30
629,M00514,2026-07-16,basketball,19:45
630,M00085,2026-06-13,football,10:30
631,M00086,2026-03-21,gym,12:15
632,M00550,2026-03-25,basketball,08:30
633,M00448,2026-07-06,swimming pool,07:15
634,M00089,2026-08-25,basketball,09:45
635,M00057,2026-03-21,swimming pool,09:00
636,M00141,2026-06-29,gym,11:45
637,M00356,2026-05-14,football,14:15
638,M00381,2026-02-02,badminton,09:00
639,M00344,2026-07-26,basketball,14:00
640,M00270,2026-07-02,football,08:45
641,M00467,2026-05-11,badminton,07:45
642,M00581,2026-02-12,badminton,11:30
643,M00106,2026-08-17,football,09:15
644,M00522,2026-01-01,gym,06:15
645,M00048,2026-05-01,badminton,18:15
646,M00184,2026-08-27,gym,19:15
647,M00330,2026-03-05,basketball,16:30
648,M00080,2026-05-27,badminton,09:00
649,M00184,2026-02-27,football,07:45
650,M00071,2026-08-13,basketball,15:30
651,M00336,2026-01-23,football,20:00
652,M00378,2026-02-21,badminton,15:15
653,M00476,2026-04-05,football,21:15
654,M00560,2026-07-14,swimming pool,10:00
655,M00420,2026-01-07,swimming pool,17:00
656,M00344,2026-01-01,basketball,15:00
657,M00211,2026-05-16,swimming pool,19:45
658,M00062,2026-02-06,badminton,08:00
659,M00238,2026-08-18,football,19:30
660,M00470,2026-07-11,gym,09:15
661,M00404,2026-01-20,football,07:45
662,M00134,2026-03-02,badminton,14:30
663,M00403,2026-06-29,badminton,16:45
664,M00279,2026-03-01,gym,12:15
665,M00599,2026-01-28,swimming pool,09:15
666,M00461,2026-04-30,badminton,19:00
667,M00549,2026-04-02,swimming pool,20:30
668,M00475,2026-03-09,gym,08:15
669,M00312,2026-07-31,football,07:15
670,M00336,2026-02-07,gym,13:30
