member_id,attendance_date,facility,check_in_time
M00029,2026-01-30,Badminton,11:30
M00040,2026-01-28,Football,19:30
M00322,2026-04-22,Football,09:45
M00591,2026-02-18,Badminton,07:45
M00002,2026-05-14,Football,12:30
M00442,2026-01-18,Badminton,16:00
M00308,2026-05-10,Badminton,19:30
M00413,2026-06-28,Badminton,10:15
M00431,2026-06-20,Basketball,11:30
M00416,2026-05-21,Gym,15:30
M00216,2026-04-21,Football,16:45
M00453,2026-04-24,Swimming Pool,21:15
M00087,2026-03-14,Football,16:00
M00241,2026-06-22,Badminton,13:15
M00151,2026-01-07,Gym,13:45
M00075,2026-04-27,Basketball,12:45
M00507,2026-04-13,Swimming Pool,10:00
M00110,2026-07-19,Basketball,13:15
M00531,2026-04-29,Gym,13:00
M00468,2026-02-04,Basketball,16:45
M00517,2026-04-20,Football,20:15
M00487,2026-04-26,Badminton,13:30
M00534,2026-05-05,Swimming Pool,14:45
M00080,2026-07-02,Badminton,13:30
M00344,2026-03-23,Football,08:15
M00155,2026-03-01,Basketball,10:15
M00066,2026-04-17,Basketball,16:45
M00426,2026-01-16,Swimming Pool,19:45
M00599,2026-08-31,Gym,18:45
M00007,2026-08-30,Badminton,15:45
M00430,2026-05-18,Football,13:45
M00225,2026-03-11,Basketball,21:00
M00399,2026-03-28,Basketball,11:45
M00131,2026-06-09,Football,06:45
M00578,2026-06-19,Gym,08:45
M00139,2026-08-10,Basketball,11:00
M00267,2026-04-08,Badminton,12:45
M00335,2026-03-28,Basketball,14:45
M00259,2026-08-02,Gym,21:00
M00553,2026-01-14,Badminton,13:00
M00042,2026-07-13,Gym,13:15
M00021,2026-06-09,Swimming Pool,13:15
M00485,2026-06-21,Gym,12:45
M00263,2026-07-16,Badminton,11:00
M00168,2026-03-21,Gym,06:30
M00590,2026-06-23,Basketball,18:15
M00078,2026-06-01,Swimming Pool,09:30
M00124,2026-07-23,Football,07:30
M00546,2026-04-20,Badminton,08:30
M00013,2026-08-06,Basketball,21:00
M00444,2026-04-03,Basketball,10:45
M00181,2026-07-07,Football,14:45
M00477,2026-04-22,Football,14:30
M00252,2026-08-01,Gym,14:45
M00250,2026-07-12,Basketball,18:30
M00030,2026-05-07,Badminton,11:45
M00218,2026-04-01,Badminton,16:30
M00283,2026-05-23,Gym,12:00
M00248,2026-07-04,Basketball,21:15
M00488,2026-06-15,Basketball,20:00
M00096,2026-03-17,Swimming Pool,18:15
M00314,2026-06-19,Football,17:45
M00567,2026-05-16,Badminton,19:30
M00361,2026-06-29,Basketball,14:30
M00258,2026-03-01,Gym,12:30
M00123,2026-07-10,Football,11:15
M00222,2026-07-09,Basketball,14:30
M00103,2026-08-02,Swimming Pool,15:15
M00370,2026-02-15,Badminton,06:15
M00281,2026-01-12,Gym,15:15
M00503,2026-01-27,Gym,15:45
M00491,2026-04-23,Badminton,11:00
M00259,2026-08-29,Basketball,09:00
M00411,2026-05-06,Gym,07:15
M00153,2026-07-27,Football,15:00
M00255,2026-01-31,Football,19:15
M00536,2026-04-08,Basketball,20:30
M00440,2026-03-20,Football,07:00
M00213,2026-06-10,Swimming Pool,14:00
M00161,2026-03-03,Swimming Pool,08:15
M00003,2026-04-15,Basketball,21:30
M00034,2026-03-01,Badminton,15:45
M00073,2026-06-25,Swimming Pool,14:15
M00436,2026-01-30,Football,13:15
M00273,2026-07-31,Swimming Pool,08:00
M00170,2026-07-22,Badminton,15:45
M00128,2026-04-30,Badminton,18:30
M00513,2026-05-19,Basketball,20:00
M00041,2026-08-16,Basketball,16:30
M00027,2026-01-24,Swimming Pool,06:30
M00591,2026-01-11,Swimming Pool,21:45
M00285,2026-02-16,Football,19:45
M00094,2026-05-01,Badminton,19:30
M00329,2026-06-21,Gym,11:30
M00422,2026-06-27,Basketball,15:45
M00564,2026-01-10,Basketball,08:30
M00259,2026-03-24,Gym,18:00
M00556,2026-04-29,Basketball,07:15
M00531,2026-04-03,Football,21:45
M00053,2026-02-22,Badminton,10:30
M00449,2026-08-14,Basketball,09:00
M00246,2026-07-01,Swimming Pool,15:00
M00566,2026-04-15,Gym,13:00
M00473,2026-08-31,Gym,10:45
M00299,2026-05-11,Badminton,19:45
M00484,2026-03-04,Basketball,10:45
M00196,2026-08-24,Football,10:00
M00283,2026-07-17,Basketball,16:30
M00003,2026-03-14,Badminton,21:15
M00458,2026-05-18,Basketball,17:30
M00566,2026-07-15,Football,18:45
M00330,2026-08-11,Swimming Pool,13:45
M00240,2026-08-08,Basketball,07:30
M00485,2026-06-30,Basketball,18:15
M00508,2026-01-10,Swimming Pool,16:00
M00451,2026-01-26,Football,20:00
M00148,2026-04-15,Swimming Pool,08:45
M00272,2026-03-28,Football,18:00
M00337,2026-08-07,Football,18:30
M00500,2026-08-12,Football,07:00
M00241,2026-06-11,Badminton,13:00
M00445,2026-01-26,Gym,20:15
M00307,2026-08-20,Gym,07:30
M00058,2026-03-17,Badminton,17:45
M00150,2026-03-04,Football,19:15
M00175,2026-02-14,Gym,18:15
M00510,2026-08-22,Football,10:15
M00473,2026-06-13,Badminton,20:30
M00010,2026-08-19,Basketball,15:15
M00076,2026-04-24,Badminton,15:45
M00257,2026-04-27,Badminton,12:45
M00495,2026-01-28,Swimming Pool,18:30
M00589,2026-03-17,Badminton,06:45
M00282,2026-01-03,Football,07:45
M00294,2026-07-18,Swimming Pool,17:15
M00195,2026-06-08,Badminton,10:00
M00041,2026-03-21,Basketball,07:30
M00135,2026-01-24,Badminton,16:45
M00180,2026-02-21,Swimming Pool,17:30
M00169,2026-03-07,Basketball,15:30
M00118,2026-04-30,Gym,10:15
M00407,2026-08-05,Football,17:00
M00405,2026-01-04,Badminton,09:45
M00378,2026-06-22,Badminton,18:30
M00111,2026-06-22,Swimming Pool,21:00
M00575,2026-03-25,Football,13:00
M00476,2026-08-21,Badminton,19:00
M00144,2026-01-12,Gym,15:45
M00119,2026-01-25,Swimming Pool,10:45
M00465,2026-04-05,Football,19:15
M00425,2026-06-17,Gym,21:45
M00287,2026-01-09,Badminton,12:45
M00456,2026-03-02,Badminton,09:30
M00558,2026-08-19,Badminton,07:45
M00283,2026-02-18,Gym,20:00
M00218,2026-06-14,Football,06:00
M00342,2026-03-04,Swimming Pool,12:00
M00568,2026-02-23,Football,12:15
M00337,2026-07-18,Swimming Pool,06:30
M00149,2026-02-03,Football,14:15
M00113,2026-06-19,Gym,10:00
M00367,2026-07-22,Swimming Pool,16:00
M00179,2026-03-09,Gym,10:45
M00539,2026-01-30,Gym,21:45
M00371,2026-05-12,Football,09:45
M00516,2026-02-26,Football,07:30
M00470,2026-06-14,Gym,07:45
M00412,2026-04-20,Gym,21:45
M00076,2026-08-19,Gym,16:15
M00068,2026-02-02,Badminton,16:45
M00544,2026-03-17,Basketball,19:00
M00118,2026-08-07,Football,12:45
M00463,2026-08-16,Swimming Pool,19:30
M00465,2026-04-13,Basketball,09:30
M00438,2026-03-22,Badminton,17:15
M00486,2026-01-18,Gym,08:00
M00443,2026-01-25,Badminton,10:00
M00576,2026-05-24,Badminton,09:45
M00363,2026-08-12,Basketball,07:30
M00320,2026-04-01,Gym,12:15
M00494,2026-02-27,Gym,17:30
M00118,2026-07-15,Badminton,13:45
M00575,2026-07-16,Football,06:30
M00030,2026-02-16,Badminton,15:30
M00360,2026-01-02,Swimming Pool,10:45
M00072,2026-02-06,Gym,08:15
M00386,2026-04-18,Basketball,16:15
M00379,2026-03-21,Badminton,08:00
M00160,2026-02-10,Football,07:00
M00279,2026-04-24,Basketball,21:45
M00425,2026-03-11,Swimming Pool,09:30
M00441,2026-01-29,Badminton,21:30
M00047,2026-02-26,Basketball,07:00
M00210,2026-03-19,Swimming Pool,10:30
M00297,2026-03-25,Gym,06:45
M00441,2026-02-14,Swimming Pool,18:15
M00513,2026-05-24,Badminton,08:45
M00044,2026-04-22,Gym,20:00
M00321,2026-05-28,Basketball,18:45
M00297,2026-01-30,Basketball,06:30
M00176,2026-07-25,Football,20:30
M00091,2026-04-22,Gym,13:45
M00411,2026-05-15,Gym,18:30
M00348,2026-02-26,Badminton,11:00
M00523,2026-06-12,Gym,12:30
M00360,2026-07-06,Swimming Pool,13:00
M00150,2026-03-07,Swimming Pool,11:15
M00078,2026-02-15,Basketball,20:45
M00579,2026-06-14,Football,16:30
M00155,2026-04-23,Gym,21:45
M00311,2026-07-23,Badminton,07:30
M00520,2026-01-19,Badminton,20:45
M00039,2026-01-15,Badminton,15:00
M00093,2026-06-07,Football,18:45
M00595,2026-05-22,Gym,20:15
M00330,2026-06-04,Basketball,10:00
M00462,2026-01-27,Badminton,08:15
M00041,2026-03-05,Basketball,20:15
M00373,2026-04-06,Badminton,18:45
M00347,2026-06-23,Football,07:30
M00068,2026-03-26,Gym,18:30
M00259,2026-07-05,Football,10:30
M00084,2026-05-30,Swimming Pool,17:30
M00402,2026-02-03,Football,08:30
M00573,2026-04-07,Badminton,10:00
M00434,2026-05-11,Badminton,06:30
M00317,2026-02-16,Swimming Pool,16:45
M00197,2026-02-27,Swimming Pool,10:00
M00303,2026-08-05,Gym,07:30
M00135,2026-06-02,Basketball,10:15
M00186,2026-08-01,Football,11:45
M00045,2026-04-16,Badminton,13:45
M00292,2026-07-12,Basketball,13:15
M00317,2026-07-27,Basketball,12:30
M00585,2026-04-23,Basketball,15:45
M00515,2026-05-16,Basketball,11:15
M00142,2026-08-12,Badminton,07:45
M00381,2026-05-22,Gym,09:30
M00086,2026-07-15,Swimming Pool,14:45
M00526,2026-02-07,Basketball,08:15
M00462,2026-08-15,Badminton,06:45
M00055,2026-04-12,Football,17:15
M00396,2026-01-21,Badminton,13:00
M00327,2026-08-27,Gym,16:15
M00141,2026-01-10,Badminton,21:15
M00481,2026-04-25,Football,06:00
M00020,2026-03-07,Swimming Pool,10:45
M00114,2026-07-18,Badminton,13:30
M00125,2026-01-13,Swimming Pool,19:45
M00065,2026-01-29,Basketball,06:15
M00148,2026-03-16,Basketball,06:30
M00247,2026-05-27,Basketball,11:00
M00537,2026-04-03,Gym,06:45
M00482,2026-01-12,Basketball,17:30
M00017,2026-04-02,Gym,17:15
M00107,2026-07-17,Football,16:15
M00046,2026-04-01,Football,16:15
M00476,2026-06-28,Basketball,11:15
M00065,2026-07-03,Basketball,07:30
M00207,2026-01-12,Swimming Pool,07:30
M00318,2026-05-12,Basketball,21:30
M00038,2026-07-12,Swimming Pool,15:30
M00049,2026-08-10,Badminton,14:00
M00377,2026-04-22,Basketball,20:45
M00348,2026-02-17,Basketball,21:30
M00532,2026-03-10,Gym,19:00
M00441,2026-06-04,Swimming Pool,15:30
M00106,2026-01-21,Badminton,15:30
M00457,2026-06-04,Basketball,11:45
M00360,2026-04-25,Gym,17:45
M00282,2026-06-13,Gym,08:45
M00373,2026-05-12,Swimming Pool,06:15
M00449,2026-01-09,Swimming Pool,08:15
M00376,2026-04-03,Basketball,07:15
M00461,2026-08-31,Badminton,17:45
M00079,2026-05-27,Swimming Pool,17:45
M00322,2026-06-16,Badminton,13:00
M00027,2026-07-08,Swimming Pool,21:45
M00576,2026-01-31,Badminton,14:45
M00220,2026-06-06,Badminton,21:15
M00126,2026-02-04,Gym,20:15
M00456,2026-01-23,Badminton,17:00
M00564,2026-05-19,Badminton,15:15
M00179,2026-07-23,Badminton,13:00
M00206,2026-07-22,Swimming Pool,13:45
M00027,2026-04-03,Football,17:45
M00565,2026-02-03,Football,08:00
M00317,2026-04-12,Basketball,19:45
M00589,2026-01-19,Swimming Pool,16:00
M00461,2026-04-30,Football,17:15
M00565,2026-06-13,Football,11:15
M00444,2026-05-09,Gym,09:15
M00312,2026-02-12,Swimming Pool,16:15
M00355,2026-08-31,Football,15:00
M00257,2026-02-20,Football,14:15
M00311,2026-06-07,Football,08:15
M00595,2026-02-09,Swimming Pool,16:00
M00030,2026-01-21,Gym,14:15
M00586,2026-04-17,Football,06:45
M00559,2026-03-16,Badminton,21:15
M00416,2026-03-18,Basketball,08:00
M00162,2026-04-23,Basketball,21:45
M00209,2026-03-29,Football,10:30
M00327,2026-07-07,Badminton,18:15
M00380,2026-05-12,Football,09:30
M00248,2026-04-30,Gym,14:45
M00254,2026-02-06,Gym,07:30
M00394,2026-08-10,Football,19:15
M00164,2026-07-28,Badminton,16:15
M00164,2026-05-08,Football,20:45
M00316,2026-05-08,Gym,08:45
M00518,2026-04-28,Swimming Pool,12:30
M00050,2026-01-13,Badminton,21:45
M00293,2026-05-18,Gym,09:45
M00138,2026-08-14,Badminton,17:45
M00375,2026-01-12,Basketball,07:15
M00372,2026-05-22,Badminton,08:45
M00517,2026-04-26,Football,14:00
M00132,2026-01-25,Basketball,17:30
M00572,2026-08-29,Badminton,10:15
M00522,2026-04-13,Football,07:00
M00040,2026-02-05,Badminton,21:45
M00153,2026-06-05,Football,10:30
M00327,2026-02-11,Basketball,15:30
M00520,2026-08-01,Football,21:30
M00487,2026-07-28,Gym,17:30
M00113,2026-04-17,Football,15:00
M00486,2026-03-09,Football,13:00
M00598,2026-05-03,Swimming Pool,18:15
M00249,2026-01-09,Football,09:15
M00020,2026-04-23,Badminton,19:15
M00423,2026-06-26,Swimming Pool,19:45
M00064,2026-06-30,Swimming Pool,12:30
M00490,2026-05-15,Basketball,16:15
M00471,2026-08-22,Football,16:30
M00271,2026-06-06,Basketball,12:15
M00286,2026-05-23,Badminton,13:30
M00296,2026-06-30,Swimming Pool,21:30
M00492,2026-03-31,Football,14:30
M00125,2026-05-27,Football,18:45
M00354,2026-07-17,Swimming Pool,15:00
M00295,2026-07-02,Gym,17:45
M00263,2026-07-11,Basketball,12:15
M00552,2026-03-11,Football,14:15
M00112,2026-06-07,Football,13:15
M00052,2026-06-21,Football,13:15
M00054,2026-01-26,Basketball,16:45
M00103,2026-06-24,Swimming Pool,06:15
M00417,2026-06-17,Basketball,21:15
M00295,2026-03-24,Badminton,07:00
M00588,2026-03-01,Football,07:15
M00428,2026-08-14,Swimming Pool,07:45
M00508,2026-02-17,Badminton,07:00
M00306,2026-05-26,Football,09:30
M00292,2026-04-27,Football,21:15
M00517,2026-04-30,Badminton,12:00
M00339,2026-02-11,Basketball,14:15
M00015,2026-07-08,Badminton,15:15
M00180,2026-06-06,Basketball,19:30
M00089,2026-04-13,Gym,11:15
M00489,2026-03-24,Swimming Pool,06:30
M00393,2026-03-02,Basketball,14:30
M00310,2026-05-30,Football,06:30
M00369,2026-06-27,Swimming Pool,07:00
M00477,2026-03-20,Swimming Pool,18:30
M00121,2026-06-13,Badminton,17:15
M00225,2026-02-04,Basketball,10:45
M00383,2026-04-17,Football,21:15
M00254,2026-06-24,Football,08:45
M00541,2026-06-30,Badminton,08:00
M00064,2026-08-01,Football,12:15
M00169,2026-03-25,Football,20:00
M00211,2026-07-03,Football,21:00
M00523,2026-04-25,Gym,20:15
M00526,2026-04-17,Basketball,07:45
M00316,2026-07-05,Gym,18:30
M00004,2026-07-10,Swimming Pool,08:00
M00434,2026-03-30,Gym,07:00
M00484,2026-01-09,Badminton,19:15
M00139,2026-07-16,Basketball,17:45
M00460,2026-08-11,Basketball,18:00
M00553,2026-02-04,Badminton,09:15
M00551,2026-04-11,Football,10:15
M00004,2026-07-13,Gym,15:45
M00558,2026-04-19,Football,18:15
M00254,2026-04-28,Badminton,10:30
M00194,2026-08-28,Gym,07:45
M00017,2026-03-03,Swimming Pool,08:00
M00035,2026-04-25,Football,07:15
M00046,2026-04-13,Basketball,13:15
M00058,2026-02-05,Football,15:15
M00590,2026-03-23,Football,16:15
M00310,2026-08-13,Swimming Pool,13:45
M00308,2026-03-12,Gym,11:45
M00570,2026-05-07,Gym,17:45
M00538,2026-03-23,Basketball,19:15
M00308,2026-04-07,Swimming Pool,21:15
M00231,2026-03-18,Swimming Pool,20:00
M00576,2026-04-16,Basketball,10:45
M00249,2026-03-07,Swimming Pool,16:00
M00461,2026-08-05,Badminton,08:15
M00053,2026-03-10,Basketball,07:00
M00193,2026-07-25,Football,12:45
M00214,2026-08-11,Badminton,15:00
M00217,2026-08-28,Swimming Pool,09:45
M00249,2026-06-28,Football,12:45
M00246,2026-05-22,Badminton,15:45
M00478,2026-05-17,Badminton,15:30
M00369,2026-05-12,Basketball,20:00
M00481,2026-07-14,Badminton,12:30
M00321,2026-04-16,Gym,13:15
M00017,2026-03-08,Football,19:30
M00157,2026-02-20,Badminton,13:45
M00584,2026-08-02,Swimming Pool,21:30
M00264,2026-07-15,Basketball,21:45
M00173,2026-07-07,Badminton,11:15
M00560,2026-05-06,Swimming Pool,07:00
M00077,2026-08-30,Gym,06:45
M00141,2026-08-04,Swimming Pool,08:15
M00010,2026-02-25,Football,20:30
M00062,2026-06-08,Football,21:45
M00017,2026-01-02,Football,19:00
M00018,2026-05-16,Badminton,15:00
M00515,2026-07-28,Basketball,11:00
M00099,2026-05-15,Swimming Pool,13:15
M00540,2026-03-06,Badminton,14:45
M00081,2026-04-06,Basketball,20:15
M00232,2026-03-18,Gym,07:00
M00416,2026-04-08,Basketball,21:00
M00010,2026-06-29,Swimming Pool,08:45
M00445,2026-06-15,Badminton,09:00
M00236,2026-02-24,Football,21:30
M00048,2026-08-25,Gym,14:00
M00184,2026-08-26,Badminton,06:15
M00148,2026-07-12,Basketball,08:30
M00167,2026-05-25,Swimming Pool,18:30
M00394,2026-07-13,Swimming Pool,08:30
M00055,2026-01-26,Basketball,13:00
M00349,2026-06-04,Football,18:30
M00031,2026-06-12,Badminton,20:45
M00234,2026-04-02,Football,18:45
M00191,2026-06-24,Football,18:00
M00303,2026-07-24,Swimming Pool,08:00
M00275,2026-02-09,Basketball,10:45
M00325,2026-04-03,Gym,08:00
M00316,2026-04-24,Badminton,14:00
M00136,2026-01-23,Swimming Pool,19:45
M00571,2026-05-23,Football,19:00
M00027,2026-01-23,Badminton,08:30
M00395,2026-01-04,Badminton,19:45
M00087,2026-07-05,Football,13:15
M00390,2026-02-13,Swimming Pool,14:30
M00275,2026-05-07,Swimming Pool,08:15
M00446,2026-03-12,Basketball,15:45
M00079,2026-04-03,Badminton,13:45
M00201,2026-04-28,Gym,10:30
M00007,2026-08-31,Basketball,16:45
M00338,2026-04-23,Badminton,19:15
M00308,2026-03-24,Football,12:45
M00322,2026-02-15,Basketball,16:30
M00503,2026-05-28,Swimming Pool,16:45
M00288,2026-07-29,Basketball,17:00
M00578,2026-02-21,Football,11:00
M00473,2026-08-30,Swimming Pool,20:30
M00071,2026-07-29,Basketball,21:15
M00311,2026-03-03,Badminton,10:45
M00387,2026-01-19,Basketball,21:45
M00548,2026-05-10,Basketball,07:30
M00550,2026-06-02,Gym,09:15
M00364,2026-02-12,Football,07:45
M00340,2026-07-23,Basketball,09:00
M00101,2026-03-08,Swimming Pool,13:45
M00384,2026-04-11,Basketball,10:30
M00026,2026-05-04,Gym,15:45
M00088,2026-01-30,Swimming Pool,17:30
M00352,2026-04-27,Swimming Pool,21:30
M00488,2026-01-25,Basketball,20:30
M00069,2026-03-18,Gym,09:00
M00352,2026-06-15,Gym,11:15
M00529,2026-02-14,Football,11:30
M00574,2026-04-20,Basketball,13:45
M00189,2026-02-17,Basketball,18:00
M00203,2026-04-26,Football,19:45
M00005,2026-06-30,Swimming Pool,12:30
M00065,2026-05-28,Gym,11:30
M00334,2026-02-20,Basketball,09:30
M00502,2026-05-16,Badminton,18:45
M00117,2026-03-31,Badminton,20:15
M00305,2026-08-24,Football,08:15
M00321,2026-01-31,Swimming Pool,15:00
M00188,2026-04-06,Swimming Pool,18:45
M00142,2026-05-28,Basketball,19:15
M00499,2026-06-12,Football,11:15
M00502,2026-03-15,Swimming Pool,11:30
M00462,2026-06-08,Gym,17:00
M00497,2026-02-04,Swimming Pool,18:45
M00419,2026-06-25,Basketball,19:45
M00501,2026-02-12,Gym,06:15
M00300,2026-01-09,Badminton,13:30
M00173,2026-07-19,Basketball,21:00
M00587,2026-01-30,Badminton,17:00
M00452,2026-05-20,Swimming Pool,19:00
M00254,2026-03-18,Gym,20:30
M00357,2026-08-09,Gym,20:00
M00243,2026-02-23,Football,17:45
M00170,2026-06-07,Swimming Pool,12:15
M00061,2026-05-26,Badminton,14:15
M00332,2026-06-30,Badminton,15:30
M00527,2026-08-19,Gym,10:45
M00061,2026-03-12,Swimming Pool,10:15
M00150,2026-07-02,Badminton,13:45
M00502,2026-02-06,Football,14:45
M00385,2026-04-26,Gym,08:45
M00528,2026-07-11,Badminton,17:45
M00500,2026-03-25,Football,06:00
M00470,2026-06-12,Badminton,08:45
M00224,2026-04-20,Swimming Pool,21:30
M00331,2026-08-01,Badminton,16:15
M00580,2026-08-07,Basketball,16:00
M00048,2026-01-26,Basketball,06:00
M00162,2026-04-23,Basketball,06:45
M00208,2026-06-26,Swimming Pool,15:15
M00281,2026-01-24,Badminton,14:00
M00381,2026-06-20,Swimming Pool,07:45
M00313,2026-07-05,Swimming Pool,19:00
M00098,2026-01-01,Swimming Pool,21:00
M00136,2026-06-01,Swimming Pool,20:00
M00009,2026-06-28,Badminton,09:45
M00136,2026-05-03,Gym,13:45
M00092,2026-07-07,Gym,09:30
M00377,2026-08-14,Badminton,10:45
M00137,2026-06-14,Swimming Pool,08:00
M00169,2026-04-23,Badminton,12:15
M00422,2026-06-07,Basketball,12:00
M00103,2026-02-05,Gym,18:30
M00440,2026-03-22,Swimming Pool,13:30
M00087,2026-03-05,Football,15:00
M00309,2026-02-22,Football,12:45
M00303,2026-06-15,Gym,13:45
M00396,2026-01-29,Swimming Pool,21:00
M00541,2026-08-16,Gym,17:30
M00136,2026-04-10,Football,19:30
M00560,2026-06-24,Swimming Pool,21:00
M00018,2026-05-31,Gym,06:30
M00221,2026-01-11,Gym,18:30
M00514,2026-07-16,Basketball,19:45
M00085,2026-06-13,Football,10:30
M00086,2026-03-21,Gym,12:15
M00550,2026-03-25,Basketball,08:30
M00448,2026-07-06,Swimming Pool,07:15
M00089,2026-08-25,Basketball,09:45
M00057,2026-03-21,Swimming Pool,09:00
M00141,2026-06-29,Gym,11:45
M00356,2026-05-14,Football,14:15
M00381,2026-02-02,Badminton,09:00
M00344,2026-07-26,Basketball,14:00
M00270,2026-07-02,Football,08:45
M00467,2026-05-11,Badminton,07:45
M00581,2026-02-12,Badminton,11:30
M00106,2026-08-17,Football,09:15
M00522,2026-01-01,Gym,06:15
M00048,2026-05-01,Badminton,18:15
M00184,2026-08-27,Gym,19:15
M00330,2026-03-05,Basketball,16:30
M00080,2026-05-27,Badminton,09:00
M00184,2026-02-27,Football,07:45
M00071,2026-08-13,Basketball,15:30
M00336,2026-01-23,Football,20:00
M00378,2026-02-21,Badminton,15:15
M00476,2026-04-05,Football,21:15
M00560,2026-07-14,Swimming Pool,10:00
M00420,2026-01-07,Swimming Pool,17:00
M00344,2026-01-01,Basketball,15:00
M00211,2026-05-16,Swimming Pool,19:45
M00062,2026-02-06,Badminton,08:00
M00238,2026-08-18,Football,19:30
M00470,2026-07-11,Gym,09:15
M00404,2026-01-20,Football,07:45
M00134,2026-03-02,Badminton,14:30
M00403,2026-06-29,Badminton,16:45
M00279,2026-03-01,Gym,12:15
M00599,2026-01-28,Swimming Pool,09:15
M00461,2026-04-30,Badminton,19:00
M00549,2026-04-02,Swimming Pool,20:30
M00475,2026-03-09,Gym,08:15
M00312,2026-07-31,Football,07:15
M00336,2026-02-07,Gym,13:30
M00406,2026-05-12,Gym,15:30
M00179,2026-01-08,Basketball,20:15
M00097,2026-04-29,Gym,10:00
M00013,2026-01-16,Swimming Pool,10:15
M00411,2026-04-06,Gym,14:00
M00023,2026-01-17,Swimming Pool,20:15
M00095,2026-08-20,Badminton,09:00
M00473,2026-01-13,Swimming Pool,19:45
M00509,2026-01-08,Basketball,19:15
M00363,2026-02-24,Swimming Pool,14:30
M00457,2026-08-15,Swimming Pool,07:15
M00303,2026-05-08,Basketball,21:00
M00090,2026-03-13,Basketball,10:45
M00205,2026-06-14,Football,13:00
M00392,2026-07-20,Badminton,21:45
M00353,2026-08-22,Football,16:45
M00277,2026-02-16,Gym,16:15
M00031,2026-08-18,Badminton,07:45
M00543,2026-04-02,Football,13:15
M00103,2026-03-05,Swimming Pool,14:00
M00225,2026-05-28,Basketball,17:15
M00181,2026-03-02,Football,16:30
M00029,2026-06-30,Badminton,10:15
M00505,2026-05-19,Badminton,11:45
M00039,2026-01-24,Gym,13:15
M00021,2026-05-15,Basketball,06:30
M00207,2026-07-26,Swimming Pool,16:15
